<<<<<<< HEAD
﻿子用例编号,用例编号,测试类型,测试优先级,测试对象,验证描述（输入→操作）,期望结果,N/A,实际结果,测试结果,是否在fealibTest覆盖
TC-UNIT-ARITH-001-11,TC-UNIT-ARITH-001,单元测试,P0,add / sub / mul / div,"div(9, 3) int32","期望输出 hash(prefix='arith_001_11_', value=3, mask=1048575)",期望输出 3,N/A,FAIL,是
TC-UNIT-ARITH-001-12,TC-UNIT-ARITH-001,单元测试,P0,add / sub / mul / div,"div(9LL, 3LL) int64",期望输出 3LL,期望输出 3LL,N/A,FAIL,是
TC-UNIT-ARITH-001-13,TC-UNIT-ARITH-001,单元测试,P0,add / sub / mul / div,"div(1.0f, 0.0f) 除零",不崩溃，返回 padding（0 或 inf）,不崩溃，返回 padding（0 或 inf）,Expression 'stat_topk_k0_empty' length must be positive,PASS,是
TC-UNIT-ARITH-002-01,TC-UNIT-ARITH-002,单元测试,P0,mod,"mod(7, 3) int32","期望输出 hash(prefix='arith_002_01_', value=1, mask=1048575)",期望输出 1,N/A,FAIL,是
TC-UNIT-ARITH-002-02,TC-UNIT-ARITH-002,单元测试,P0,mod,"mod(-7, 3) int32",期望输出 ≥ 0（规范要求结果非负，如 2）,期望输出 ≥ 0（规范要求结果非负，如 2）,N/A,FAIL,是
TC-UNIT-ARITH-002-03,TC-UNIT-ARITH-002,单元测试,P0,mod,"mod(0, 5) int32","期望输出 hash(prefix='arith_002_01_', value=0, mask=1048575)",期望输出 0,N/A,FAIL,是
TC-UNIT-ARITH-002-04,TC-UNIT-ARITH-002,单元测试,P0,mod,"mod(6, 3) int32","期望输出 hash(prefix='arith_002_01_', value=0, mask=1048575)",期望输出 0（整除）,N/A,FAIL,是
TC-UNIT-ARITH-002-05,TC-UNIT-ARITH-002,单元测试,P0,mod,"mod(-1, 7) int32",期望输出 ≥ 0,期望输出 ≥ 0,N/A,FAIL,是
TC-UNIT-ARITH-002-06,TC-UNIT-ARITH-002,单元测试,P0,mod,"mod(1000000007LL, 1000000006LL) int64",期望输出 1LL,期望输出 1LL,N/A,FAIL,是
TC-UNIT-ARITH-002-07,TC-UNIT-ARITH-002,单元测试,P0,mod,"mod(-100LL, 7LL) int64",期望输出 ≥ 0,期望输出 ≥ 0,N/A,FAIL,是
TC-UNIT-ARITH-002-08,TC-UNIT-ARITH-002,单元测试,P0,mod,"mod(0LL, 100LL) int64",期望输出 0LL,期望输出 0LL,N/A,FAIL,是
TC-UNIT-ARITH-002-09,TC-UNIT-ARITH-002,单元测试,P0,mod,int32 与 int64 对相同数值 mod 结果比较,两者对相同数值结果一致,两者对相同数值结果一致,N/A,FAIL,是
TC-UNIT-ARITH-003-01,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,abs(-3.14f),期望输出 3.14f，误差 ≤ 1e-6,期望输出 3.14f，误差 ≤ 1e-6,N/A,FAIL,是
TC-UNIT-ARITH-003-02,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,abs(-10) int32,"期望输出 hash(prefix='arith_003_02_', value=10, mask=1048575)",期望输出 10,N/A,FAIL,是
TC-UNIT-ARITH-003-03,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,abs(-9999999LL) int64,期望输出 9999999LL,期望输出 9999999LL,N/A,FAIL,是
TC-UNIT-ARITH-003-04,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,abs(0.0f),期望输出 0.0f,期望输出 0.0f,N/A,FAIL,是
TC-UNIT-ARITH-003-05,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,ceil(1.2f) → int32,"期望输出 hash(prefix='arith_003_05_', value=2, mask=1048575)",期望输出 2,N/A,FAIL,是
TC-UNIT-ARITH-003-06,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,ceil(-1.2f) → int32,"期望输出 hash(prefix='arith_003_06_', value=-1, mask=1048575)",期望输出 -1,N/A,FAIL,是
TC-UNIT-ARITH-003-07,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,floor(1.9f) → int32,"期望输出 hash(prefix='arith_003_07_', value=1, mask=1048575)",期望输出 1,N/A,FAIL,是
TC-UNIT-ARITH-003-08,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,floor(-1.9f) → int32,"期望输出 hash(prefix='arith_003_08_', value=-2, mask=1048575)",期望输出 -2,N/A,FAIL,是
TC-UNIT-ARITH-003-09,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,round(1.5f) → int32,"期望输出 hash(prefix='arith_003_09_', value=2, mask=1048575)",期望输出 2,N/A,FAIL,是
TC-UNIT-ARITH-003-10,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,round(1.4f) → int32,"期望输出 hash(prefix='arith_003_10_', value=1, mask=1048575)",期望输出 1,N/A,FAIL,是
TC-UNIT-ARITH-003-11,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,round(-1.5f) → int32,记录实际值（取决于实现，-2 或 -1）,记录实际值（取决于实现，-2 或 -1）,N/A,FAIL,是
TC-UNIT-ARITH-003-12,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,exp(0.0f),期望输出 1.0f,期望输出 1.0f,N/A,FAIL,是
TC-UNIT-ARITH-003-13,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,exp(1.0f),期望输出 ≈ 2.71828f，误差 ≤ 1e-4,期望输出 ≈ 2.71828f，误差 ≤ 1e-4,N/A,FAIL,是
TC-UNIT-ARITH-003-14,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,log(1.0f),期望输出 0.0f,期望输出 0.0f,N/A,FAIL,是
TC-UNIT-ARITH-003-15,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,log(2.718281f),期望输出 ≈ 1.0f，误差 ≤ 1e-5,期望输出 ≈ 1.0f，误差 ≤ 1e-5,N/A,FAIL,是
TC-UNIT-ARITH-003-16,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,log10(100.0f),期望输出 2.0f,期望输出 2.0f,N/A,FAIL,是
TC-UNIT-ARITH-003-17,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,log2(8.0f),期望输出 3.0f,期望输出 3.0f,N/A,FAIL,是
TC-UNIT-ARITH-003-18,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,sqrt(4.0f),期望输出 2.0f,期望输出 2.0f,N/A,FAIL,是
TC-UNIT-ARITH-003-19,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,sqrt(2.0f),期望输出 ≈ 1.41421f，误差 ≤ 1e-5,期望输出 ≈ 1.41421f，误差 ≤ 1e-5,N/A,FAIL,是
TC-UNIT-ARITH-003-20,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,sigmoid(0.0f),期望输出 0.5f,期望输出 0.5f,N/A,FAIL,是
TC-UNIT-ARITH-003-21,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,sigmoid(100.0f),期望输出 ≈ 1.0f（接近上界）,期望输出 ≈ 1.0f（接近上界）,N/A,FAIL,是
TC-UNIT-ARITH-003-22,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,sigmoid(-100.0f),期望输出 ≈ 0.0f（接近下界）,期望输出 ≈ 0.0f（接近下界）,N/A,FAIL,是
TC-UNIT-ARITH-003-23,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,"pow(2.0f, 10.0f)",期望输出 1024.0f,期望输出 1024.0f,N/A,FAIL,是
TC-UNIT-ARITH-003-24,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,"pow(3.0f, 3.0f)",期望输出 27.0f,期望输出 27.0f,N/A,FAIL,是
TC-UNIT-ARITH-003-25,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,log(0.0f) 边界,不崩溃，返回 -inf 或 padding,不崩溃，返回 -inf 或 padding,N/A,FAIL,是
TC-UNIT-ARITH-003-26,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,log(-1.0f) 边界,不崩溃，返回 NaN 或 padding,不崩溃，返回 NaN 或 padding,N/A,FAIL,是
TC-UNIT-ARITH-003-27,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,sqrt(-1.0f) 边界,不崩溃，返回 NaN 或 padding,不崩溃，返回 NaN 或 padding,N/A,FAIL,是
TC-UNIT-ARITH-004-01,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"scale(0.75f, 100.0f) → ceil(75.0)","期望输出 hash(prefix='arith_004_01_', value=75, mask=1048575)",期望输出 75,N/A,FAIL,是
TC-UNIT-ARITH-004-02,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"scale(0.0f, 100.0f)","期望输出 hash(prefix='arith_004_01_', value=0, mask=1048575)",期望输出 0,N/A,FAIL,是
TC-UNIT-ARITH-004-03,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"scale(1.0f, 100.0f)","期望输出 hash(prefix='arith_004_01_', value=100, mask=1048575)",期望输出 100,N/A,FAIL,是
TC-UNIT-ARITH-004-04,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"scale(0.001f, 1000.0f)","期望输出 hash(prefix='arith_004_01_', value=1, mask=1048575)",期望输出 1（ceil(1.0)=1）,N/A,FAIL,是
TC-UNIT-ARITH-004-05,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"scale(0.0f, 0.0f) 边界",不崩溃，返回 0,不崩溃，返回 0,N/A,FAIL,是
TC-UNIT-ARITH-004-06,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"wilson_score(100, 80, 95)","期望输出 ∈ (0.0, 1.0)","期望输出 ∈ (0.0, 1.0)",N/A,FAIL,是
TC-UNIT-ARITH-004-07,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"wilson_score(1000, 500, 95)","期望输出 ∈ (0.0, 1.0)","期望输出 ∈ (0.0, 1.0)",N/A,FAIL,是
TC-UNIT-ARITH-004-08,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"wilson_score(0, 0, 95) total=0 边界",不崩溃，返回 padding,不崩溃，返回 padding,N/A,FAIL,是
TC-UNIT-ARITH-004-09,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"wilson_score(100, 0, 95)",期望输出 ≥ 0.0,期望输出 ≥ 0.0,N/A,FAIL,是
TC-UNIT-ARITH-004-10,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"wilson_score(100, 100, 95)","期望输出 ∈ (0.0, 1.0)","期望输出 ∈ (0.0, 1.0)",N/A,FAIL,是
TC-UNIT-ARITH-004-11,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"smooth(1000.0f, 50.0f, 100.0f)",期望输出 ≈ 0.0464f，误差 ≤ 1e-4,期望输出 ≈ 0.0464f，误差 ≤ 1e-4,N/A,FAIL,是
TC-UNIT-ARITH-004-12,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"smooth(0.0f, 0.0f, 100.0f)",不崩溃，结果 ≈ prior,不崩溃，结果 ≈ prior,N/A,FAIL,是
TC-UNIT-ARITH-004-13,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"smooth(0.0f, 0.0f, 0.0f) 分母为0",不崩溃，返回 padding,不崩溃，返回 padding,N/A,FAIL,是
TC-UNIT-ARITH-004-14,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"smooth(100.0f, 100.0f, 100.0f)","期望输出 ∈ (0.0, 1.0]","期望输出 ∈ (0.0, 1.0]",N/A,FAIL,是
TC-UNIT-ARITH-004-15,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"z_score(85.0f, 70.0f, 15.0f)",期望输出 1.0f，误差 ≤ 1e-5,期望输出 1.0f，误差 ≤ 1e-5,N/A,FAIL,是
TC-UNIT-ARITH-004-16,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"z_score(70.0f, 70.0f, 15.0f)",期望输出 0.0f,期望输出 0.0f,N/A,FAIL,是
TC-UNIT-ARITH-004-17,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"z_score(55.0f, 70.0f, 15.0f)",期望输出 -1.0f,期望输出 -1.0f,N/A,FAIL,是
TC-UNIT-ARITH-004-18,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"z_score(85.0f, 70.0f, 0.0f) std=0 边界",不崩溃，返回 padding,不崩溃，返回 padding,N/A,FAIL,是
TC-UNIT-STAT-001-01,TC-UNIT-STAT-001,单元测试,P0,min / max / avg / var / std,"avg([1.0f,2.0f,3.0f,4.0f,5.0f])",期望输出 3.0f,期望输出 3.0f,N/A,FAIL,是
TC-UNIT-STAT-001-02,TC-UNIT-STAT-001,单元测试,P0,min / max / avg / var / std,avg([100.0f]) 单元素,期望输出 100.0f,期望输出 100.0f,N/A,FAIL,是
TC-UNIT-STAT-001-03,TC-UNIT-STAT-001,单元测试,P0,min / max / avg / var / std,avg([]) 空数组,不崩溃，返回 padding,不崩溃，返回 padding,Expression 'stat_topk_k0_empty' length must be positive,PASS,是
TC-UNIT-STAT-001-04,TC-UNIT-STAT-001,单元测试,P0,min / max / avg / var / std,"var([1.0f,2.0f,3.0f]) 总体方差",期望输出 ≈ 0.667f，误差 ± 1e-3,期望输出 ≈ 0.667f，误差 ± 1e-3,N/A,FAIL,是
TC-UNIT-STAT-001-05,TC-UNIT-STAT-001,单元测试,P0,min / max / avg / var / std,"var([5.0f,5.0f,5.0f]) 所有值相同",期望输出 0.0f,期望输出 0.0f,N/A,FAIL,是
TC-UNIT-STAT-001-06,TC-UNIT-STAT-001,单元测试,P0,min / max / avg / var / std,var([]) 空数组,不崩溃，返回 padding,不崩溃，返回 padding,Expression 'stat_topk_k0_empty' length must be positive,PASS,是
TC-UNIT-STAT-001-07,TC-UNIT-STAT-001,单元测试,P0,min / max / avg / var / std,"std([1.0f,2.0f,3.0f])",期望输出 ≈ 0.816f，误差 ± 1e-3,期望输出 ≈ 0.816f，误差 ± 1e-3,N/A,FAIL,是
TC-UNIT-STAT-001-08,TC-UNIT-STAT-001,单元测试,P0,min / max / avg / var / std,"std([5.0f,5.0f,5.0f])",期望输出 0.0f,期望输出 0.0f,N/A,FAIL,是
TC-UNIT-STAT-001-09,TC-UNIT-STAT-001,单元测试,P0,min / max / avg / var / std,std([]) 空数组,不崩溃，返回 padding,不崩溃，返回 padding,Expression 'stat_topk_k0_empty' length must be positive,PASS,是
TC-UNIT-STAT-001-10,TC-UNIT-STAT-001,单元测试,P0,min / max / avg / var / std,"min([3.0f,1.0f,4.0f,1.5f])",期望输出 1.0f,期望输出 1.0f,N/A,FAIL,是
TC-UNIT-STAT-001-11,TC-UNIT-STAT-001,单元测试,P0,min / max / avg / var / std,min([5]) 单元素,期望输出 5,期望输出 5,N/A,FAIL,是
TC-UNIT-STAT-001-12,TC-UNIT-STAT-001,单元测试,P0,min / max / avg / var / std,min([]) 空数组,不崩溃，返回 padding,不崩溃，返回 padding,Expression 'stat_topk_k0_empty' length must be positive,PASS,是
TC-UNIT-STAT-001-13,TC-UNIT-STAT-001,单元测试,P0,min / max / avg / var / std,"max([3.0f,1.0f,4.0f,1.5f])",期望输出 4.0f,期望输出 4.0f,N/A,FAIL,是
TC-UNIT-STAT-001-14,TC-UNIT-STAT-001,单元测试,P0,min / max / avg / var / std,max([5]) 单元素,期望输出 5,期望输出 5,N/A,FAIL,是
TC-UNIT-STAT-001-15,TC-UNIT-STAT-001,单元测试,P0,min / max / avg / var / std,max([]) 空数组,不崩溃，返回 padding,不崩溃，返回 padding,Expression 'stat_topk_k0_empty' length must be positive,PASS,是
TC-UNIT-STAT-002-01,TC-UNIT-STAT-002,单元测试,P0,topk,"topk([5,3,1,4,2], k=3) 正常截断","期望输出 [5,3,1]，长度=3","期望输出 [5,3,1]，长度=3",N/A,FAIL,是
TC-UNIT-STAT-002-02,TC-UNIT-STAT-002,单元测试,P0,topk,"topk([1.0f,2.0f,3.0f,4.0f,5.0f], k=2)","期望输出 [1.0f,2.0f]，长度=2","期望输出 [1.0f,2.0f]，长度=2",N/A,FAIL,是
TC-UNIT-STAT-002-03,TC-UNIT-STAT-002,单元测试,P0,topk,"topk([""a"",""b"",""c"",""d""], k=2)","期望输出 [""a"",""b""]，长度=2","期望输出 [""a"",""b""]，长度=2",N/A,FAIL,是
TC-UNIT-STAT-002-04,TC-UNIT-STAT-002,单元测试,P0,topk,"topk([1,2,3], k=5) k > 数组长度","期望输出 [1,2,3]，长度=3（≤k）","期望输出 [1,2,3]，长度=3（≤k）",N/A,FAIL,是
TC-UNIT-STAT-002-05,TC-UNIT-STAT-002,单元测试,P0,topk,"topk([1,2,3], k=3) k = 数组长度","期望输出 [1,2,3]，长度=3","期望输出 [1,2,3]，长度=3",N/A,FAIL,是
TC-UNIT-STAT-002-06,TC-UNIT-STAT-002,单元测试,P0,topk,"topk([], k=3) 空数组",期望返回 []，不崩溃,期望返回 []，不崩溃,Expression 'stat_topk_k0_empty' length must be positive,PASS,是
TC-UNIT-STAT-002-07,TC-UNIT-STAT-002,单元测试,P0,topk,"topk([], k=0) 空数组+k=0",期望返回 []，不崩溃,期望返回 []，不崩溃,Expression 'stat_topk_k0_empty' length must be positive,PASS,是
TC-UNIT-STAT-002-08,TC-UNIT-STAT-002,单元测试,P0,topk,"topk([1,2,3], k=0)",期望返回 []，长度=0，不崩溃,期望返回 []，长度=0，不崩溃,Expression 'stat_topk_k0_empty' length must be positive,PASS,是
TC-UNIT-STAT-002-09,TC-UNIT-STAT-002,单元测试,P0,topk,"topk([1,2,3], k=5) + export.len=5,padding=0","期望输出 [1,2,3,0,0]，补 padding 至长度5","期望输出 [1,2,3,0,0]，补 padding 至长度5",N/A,FAIL,是
TC-UNIT-STAT-003-01,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"norm([3.0f,4.0f], p=2.0f) L2范数",期望输出 5.0f，误差 ≤ 1e-6,期望输出 5.0f，误差 ≤ 1e-6,N/A,FAIL,是
TC-UNIT-STAT-003-02,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"norm([1.0f,1.0f,1.0f,1.0f], p=2.0f)",期望输出 2.0f,期望输出 2.0f,N/A,FAIL,是
TC-UNIT-STAT-003-03,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"norm([3.0f,4.0f], p=1.0f) L1范数",期望输出 7.0f,期望输出 7.0f,N/A,FAIL,是
TC-UNIT-STAT-003-04,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"norm([], p=2.0f) 空数组",不崩溃，返回 0.0f 或 padding,不崩溃，返回 0.0f 或 padding,Expression 'stat_topk_k0_empty' length must be positive,PASS,是
TC-UNIT-STAT-003-05,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"normalize([3.0f,4.0f], p=2.0f)","期望输出 [0.6f,0.8f]，每元素误差 ≤ 1e-6","期望输出 [0.6f,0.8f]，每元素误差 ≤ 1e-6",N/A,FAIL,是
TC-UNIT-STAT-003-06,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"normalize([1.0f,0.0f,0.0f], p=2.0f)","期望输出 [1.0f,0.0f,0.0f]","期望输出 [1.0f,0.0f,0.0f]",N/A,FAIL,是
TC-UNIT-STAT-003-07,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"normalize([0.0f,0.0f], p=2.0f) 零向量","不崩溃，返回 [0.0f,0.0f] 或 padding","不崩溃，返回 [0.0f,0.0f] 或 padding",Expression 'stat_topk_k0_empty' length must be positive,PASS,是
TC-UNIT-STAT-003-08,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"dot_product([1.0f,2.0f],[3.0f,4.0f])",期望输出 11.0f,期望输出 11.0f,N/A,FAIL,是
TC-UNIT-STAT-003-09,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"dot_product([0.0f,0.0f],[1.0f,1.0f])",期望输出 0.0f,期望输出 0.0f,N/A,FAIL,是
TC-UNIT-STAT-003-10,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"dot_product([1.0f,2.0f],[3.0f]) 维度不匹配",不崩溃，返回 padding,不崩溃，返回 padding,Expression 'stat_topk_k0_empty' length must be positive,PASS,是
TC-UNIT-STAT-003-11,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"count([1,2,2,3,2], 2)","期望输出 hash(prefix='stat_003_11_', value=3, mask=1048575)",期望输出 3,N/A,FAIL,是
TC-UNIT-STAT-003-12,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"count([1,2,3], 5) 元素不存在","期望输出 hash(prefix='stat_003_11_', value=0, mask=1048575)",期望输出 0,N/A,FAIL,是
TC-UNIT-STAT-003-13,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"count([], 1) 空数组",期望输出 0,期望输出 0,N/A,FAIL,是
TC-UNIT-STAT-003-14,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"contains([1,2,3], 2)","期望输出 ""true""","期望输出 ""true""",N/A,FAIL,是
TC-UNIT-STAT-003-15,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"contains([1,2,3], 5)","期望输出 ""false""","期望输出 ""false""",N/A,FAIL,是
TC-UNIT-STAT-003-16,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"contains([], 1) 空数组","期望输出 ""false""","期望输出 ""false""",N/A,FAIL,是
TC-UNIT-STAT-003-17,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"len([1,2,3,4,5])","期望输出 hash(prefix='stat_003_17_', value=5, mask=1048575)",期望输出 5,N/A,FAIL,是
TC-UNIT-STAT-003-18,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,len([]) 空数组,"期望输出 hash(prefix='stat_003_17_', value=0, mask=1048575)",期望输出 0,N/A,FAIL,是
TC-UNIT-STAT-003-19,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"len([""a"",""b""])","期望输出 hash(prefix='stat_len_str_arr_', value=2, mask=1048575)",期望输出 2,N/A,FAIL,是
TC-UNIT-DISC-001-01,TC-UNIT-DISC-001,单元测试,P0,binarize,"binarize(5.0f, 3.0f) float","期望输出 hash(prefix='disc_001_01_', value=1, mask=1048575)",期望输出 1（5.0 ≥ 3.0）,N/A,FAIL,是
TC-UNIT-DISC-001-02,TC-UNIT-DISC-001,单元测试,P0,binarize,"binarize(2.0f, 3.0f) float","期望输出 hash(prefix='disc_001_02_', value=0, mask=1048575)",期望输出 0（2.0 < 3.0）,N/A,FAIL,是
TC-UNIT-DISC-001-03,TC-UNIT-DISC-001,单元测试,P0,binarize,"binarize(3.0f, 3.0f) float 等于 threshold","期望输出 hash(prefix='disc_001_01_', value=1, mask=1048575)",期望输出 1（规范：v >= threshold 返回1）,N/A,FAIL,是
TC-UNIT-DISC-001-04,TC-UNIT-DISC-001,单元测试,P0,binarize,"binarize(-1.0f, 0.0f) float","期望输出 hash(prefix='disc_001_01_', value=0, mask=1048575)",期望输出 0,N/A,FAIL,是
